,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
72,TATACHEM,13.375867103480472,4.77709539410017,960.5,961.8,1,5,0.5,2025-01-29 14:47:47.203386,2025-01-29 15:10:05.393141
73,PAGEIND,504.27501880000017,180.09822100000008,45366.15,45084.7,4,15,2.0,2025-01-29 15:18:52.618888,2025-01-29 15:27:05.393325
74,NTPC,3.6782945238539897,1.3136766156621391,319.85,320.5,2,18,1.0,2025-01-29 12:41:32.883422,2025-01-29 13:04:27.474694
75,JSWSTEEL,9.812594755942271,3.5044981271222406,941.0,938.9,4,16,2.0,2025-01-29 13:29:05.967625,2025-01-29 14:53:12.181085
76,HAL,64.73100492359931,23.11821604414261,3677.65,3699.55,5,22,2.5,2025-01-29 10:17:06.219834,2025-01-29 14:15:47.028738
77,PAYTM,16.122302366341252,5.757965130836162,798.65,811.85,3,14,1.5,2025-01-29 10:09:36.887350,2025-01-29 15:22:06.941403
78,TCS,33.642776202546685,12.015277215195246,4083.0,4091.85,2,17,1.0,2025-01-29 09:23:17.009509,2025-01-29 13:27:08.927327
79,ESCORTS,43.64333860942276,15.586906646222412,3535.0,3533.25,3,17,1.5,2025-01-29 10:35:06.134171,2025-01-29 14:30:15.699417
80,ICICIPRULI,6.8687902856536525,2.453139387733448,606.8,605.5,2,11,1.0,2025-01-29 09:53:28.492230,2025-01-29 14:18:29.602225
81,HINDUNILVR,18.864621775976225,6.73736491999151,2387.8,2390.0,3,20,1.5,2025-01-29 10:26:49.185390,2025-01-29 15:08:18.135681
